"id","est_dis","upm","factor","ictpc"
"010037650111","2","40",175,2725.86143482325
"010037650112","2","40",175,2725.86143482325
"010037650113","2","40",175,2725.86143482325
"010037650211","2","40",175,12563.4832918351
"010037650212","2","40",175,12563.4832918351
"010037650311","2","40",175,6020.29653361072
"010037650312","2","40",175,6020.29653361072
"010037650313","2","40",175,6020.29653361072
"010037650411","2","40",175,2700.5882330632
"010037650412","2","40",175,2700.5882330632
"010037650413","2","40",175,2700.5882330632
"010037650511","2","40",175,5889.82124930893
"010038590411","3","41",287,39171.7500859764
"010038590511","3","41",287,9486.88811843569
"010038590512","3","41",287,9486.88811843569
"010038590611","3","41",287,51500.1574479395
"010038590612","3","41",287,51500.1574479395
"010038590613","3","41",287,51500.1574479395
"010038670111","2","42",178,30132.7815097106
"010038670112","2","42",178,30132.7815097106
"010038670113","2","42",178,30132.7815097106
"010038670311","2","42",178,14326.9169761202
"010038670312","2","42",178,14326.9169761202
"010038670313","2","42",178,14326.9169761202
"010038670314","2","42",178,14326.9169761202
"010038670411","2","42",178,28084.4649675932
"010038670412","2","42",178,28084.4649675932
"010038670413","2","42",178,28084.4649675932
"010038670414","2","42",178,28084.4649675932
"010038670511","2","42",178,27502.4746298473
"010038670512","2","42",178,27502.4746298473
"010038670611","2","42",178,16176.5074297359
"010038670612","2","42",178,16176.5074297359
"010038670613","2","42",178,16176.5074297359
"010038670614","2","42",178,16176.5074297359
"010039190211","2","43",178,42688.5016030873
"010039190212","2","43",178,42688.5016030873
"010040420211","2","44",181,13141.6063260148
"010040420212","2","44",181,13141.6063260148
"010040420213","2","44",181,13141.6063260148
"010040420214","2","44",181,13141.6063260148
"010040420311","2","44",181,111352.535270201
"010040420312","2","44",181,111352.535270201
"010040420313","2","44",181,111352.535270201
"010040420314","2","44",181,111352.535270201
"010040420411","2","44",181,5550.9544815821
"010040420412","2","44",181,5550.9544815821
"010040420413","2","44",181,5550.9544815821
"010040420511","2","44",181,3833.43462868874
"010040420611","2","44",181,4554.72432297981
"010040420612","2","44",181,4554.72432297981
"010040420613","2","44",181,4554.72432297981
"010040420614","2","44",181,4554.72432297981
"010041520111","3","45",196,4598.36096797401
"010041520112","3","45",196,4598.36096797401
"010041520113","3","45",196,4598.36096797401
"010041520114","3","45",196,4598.36096797401
